movieId,full title,genres,title,year,gross ($),# award wins,# award nominations,average rating,# ratings,imdb rating,metascore,imdb link,tmdb link,corrected imdb link,condensed name
2769,"Yards, The (2000)",Crime|Drama,"Yards, The",2000,Invalid Movie specified.,3,2,3.63,4,6.4,58,138946,19457,tt0138946,theyards
3177,Next Friday (2000),Comedy,Next Friday,2000,57328603,0,1,4.25,2,6.1,41,195945,10471,tt0195945,theNextFriday
3190,Supernova (2000),Adventure|Sci-Fi|Thriller,Supernova,2000,14230455,0,0,2.75,6,4.8,19,134983,10384,tt0134983,theSupernova
3225,Down to You (2000),Comedy|Romance,Down to You,2000,20069008,1,3,2.5,2,4.9,13,186975,10472,tt0186975,theDowntoYou
3273,Scream 3 (2000),Comedy|Horror|Mystery|Thriller,Scream 3,2000,89143175,5,5,2.5,31,5.5,56,134084,4234,tt0134084,theScream3
3275,"Boondock Saints, The (2000)",Action|Crime|Drama|Thriller,"Boondock Saints, The",2000,30471,0,0,3.97,43,7.9,44,144117,8374,tt0144117,"theBoondockSaints,The"
3276,Gun Shy (2000),Comedy,Gun Shy,2000,1638202,0,0,2,2,5.7,42,171356,29076,tt0171356,theGunShy
3285,"Beach, The (2000)",Adventure|Drama,"Beach, The",2000,Invalid Movie specified.,0,7,3.08,25,6.6,43,163978,1907,tt0163978,"theBeach,The"
3286,Snow Day (2000),Comedy,Snow Day,2000,60020107,0,4,2.5,1,4.9,34,184907,15489,tt0184907,theSnowDay
3287,"Tigger Movie, The (2000)",Animation|Children,"Tigger Movie, The",2000,45554533,0,5,2,1,6.3,53,220099,15655,tt0220099,"theTiggerMovie,The"
3298,Boiler Room (2000),Crime|Drama|Thriller,Boiler Room,2000,16970581,1,9,3.59,23,7,63,181984,14181,tt0181984,theBoilerRoom
3300,Pitch Black (2000),Horror|Sci-Fi|Thriller,Pitch Black,2000,39240659,2,4,3.44,39,7.1,49,134847,2787,tt0134847,thePitchBlack
3301,"Whole Nine Yards, The (2000)",Comedy|Crime,"Whole Nine Yards, The",2000,57262492,0,5,3.16,35,6.7,47,190138,2069,tt0190138,"theWholeNineYards,The"
3303,Black Tar Heroin: The Dark End of the Street (2000),Documentary,Black Tar Heroin: The Dark End of the Street,2000,Invalid Movie specified.,0,0,4,1,8,N/A,221023,79515,tt0221023,theBlackTarHeroin:TheDarkEndoftheStreet
3316,Reindeer Games (2000),Action|Thriller,Reindeer Games,2000,23368995,0,3,2.38,13,5.7,37,184858,2155,tt0184858,theReindeerGames
3317,Wonder Boys (2000),Comedy|Drama,Wonder Boys,2000,19393557,19,46,4,23,7.4,73,185014,11004,tt0185014,theWonderBoys
3324,Drowning Mona (2000),Comedy,Drowning Mona,2000,15506764,0,1,3,1,5.6,25,186045,25166,tt0186045,theDrowningMona
3325,"Next Best Thing, The (2000)",Comedy|Drama,"Next Best Thing, The",2000,14990582,3,9,3.5,2,4.7,25,156841,1831,tt0156841,"theNextBestThing,The"
3326,What Planet Are You From? (2000),Comedy|Sci-Fi,What Planet Are You From?,2000,Invalid Movie specified.,0,1,3.1,5,5.6,41,181151,10416,tt0181151,theWhatPlanetAreYouFrom?
